timestamp,symbol,action,shares,price,atr,stop_loss,fee
2025-04-30 19:59:20,WMT,BUY,9,97.14,2.625,91.89,1.0
2025-05-01 11:10:19,MSFT,BUY,2,395.26,11.150000000000002,372.96,1.0
